inches,battery,ram(GB),announcement_date,weight(g),storage(GB),price(USD),brand_encoded,os_encoded,battery_type_encoded,video_720p_encoded,video_1080p_encoded,video_4K_encoded,video_8K_encoded,video_30fps_encoded,video_60fps_encoded,video_120fps_encoded,video_240fps_encoded,video_480fps_encoded,video_960fps_encoded,resolution_encoded
5.99,3000,4,2018-05-01,164.0,32,200.0,2,17,1,0,1,0,0,1,0,0,0,0,0,72
5.0,2280,1,2018-05-01,175.0,8,1300.0,3,18,0,1,0,0,0,1,0,0,0,0,0,68
6.0,3500,4,2018-05-01,177.0,32,140.0,9,17,0,0,1,0,0,1,0,0,0,0,0,73
5.6,3000,4,2018-05-01,154.0,32,230.0,9,17,0,0,1,0,0,1,0,0,0,0,0,73
5.5,3000,3,2018-05-01,175.0,16,220.0,9,17,0,0,1,0,0,1,0,0,0,0,0,71
6.0,3500,4,2018-05-01,186.0,32,240.0,9,17,0,0,1,0,0,1,0,0,0,0,0,2
5.6,3000,4,2018-05-01,162.0,32,170.0,9,17,0,0,1,0,0,1,0,0,0,0,0,73
5.45,3020,2,2018-05-01,142.0,16,110.0,2,19,0,0,1,0,0,1,0,0,0,0,0,72
5.45,3020,2,2018-05-01,142.0,16,150.0,3,19,0,0,1,0,0,1,0,0,0,0,0,72
5.8,3000,4,2018-05-01,150.0,64,180.0,9,17,0,1,1,1,0,1,0,0,0,0,0,2
6.0,3300,6,2018-05-01,157.0,64,150.0,4,17,1,1,1,1,0,1,1,1,1,0,0,44
5.5,3000,4,2018-05-01,145.0,32,370.0,4,19,1,0,1,0,0,1,0,0,0,0,0,1
6.0,3410,4,2018-05-01,155.0,64,200.0,7,19,0,0,1,0,0,1,0,0,0,0,0,1
6.21,3000,8,2018-05-01,177.0,128,400.0,12,19,1,1,1,1,0,1,1,1,1,0,1,6
6.21,3400,8,2018-05-01,175.0,64,430.0,12,19,1,1,1,1,0,1,1,1,1,0,1,6
5.88,3120,6,2018-05-01,164.0,64,260.0,12,19,1,1,1,1,0,1,0,1,0,0,0,4
5.99,3080,4,2018-05-01,170.0,32,160.0,12,19,1,0,1,0,0,1,0,0,0,0,0,72
5.3,2880,2,2018-05-01,168.0,32,150.0,4,14,0,0,1,0,0,1,0,0,0,0,0,71
6.1,3000,6,2018-05-02,162.0,64,300.0,4,17,1,1,1,1,0,1,1,1,1,0,0,49
6.28,3300,8,2018-05-16,177.0,64,410.0,6,19,1,1,1,1,0,1,1,1,1,1,0,7
6.42,3400,8,2018-06-01,186.0,512,130.0,7,19,0,1,1,1,0,1,1,1,1,1,0,10
5.5,3300,2,2018-06-01,181.0,16,350.0,9,17,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2600,2,2018-06-01,152.0,16,400.0,9,17,0,0,1,0,0,1,0,0,0,0,0,71
6.3,3700,6,2018-06-01,191.0,64,310.0,9,17,0,1,1,1,0,1,0,0,0,0,0,2
6.0,3760,4,2018-06-01,176.0,32,110.0,5,17,0,0,1,0,0,1,0,0,0,0,0,72
6.2,3300,6,2018-06-01,165.0,64,120.0,5,19,0,1,1,1,0,1,0,0,0,0,0,5
5.45,4000,3,2018-06-01,160.0,16,130.0,5,17,0,0,1,0,0,0,1,0,0,0,0,72
6.2,3300,2,2018-06-01,172.0,32,300.0,4,19,0,0,1,0,0,1,0,0,0,0,0,1
6.2,3300,4,2018-06-01,171.0,32,350.0,4,19,0,0,1,0,0,1,0,0,0,0,0,1
5.45,3000,4,2018-06-01,146.0,32,130.0,12,19,1,0,1,0,0,1,0,0,0,0,0,72
5.45,3000,3,2018-06-01,145.0,16,110.0,12,19,0,0,1,0,0,1,0,0,0,0,0,72
5.84,3000,4,2018-07-01,152.0,32,220.0,2,17,1,0,1,0,0,1,0,0,0,0,0,7
6.95,5000,8,2018-07-01,230.0,64,400.0,2,19,1,1,1,1,0,1,0,0,0,0,0,2
6.21,3400,6,2018-07-01,160.0,64,100.0,3,21,0,0,1,0,0,0,1,0,0,0,0,10
6.3,3750,6,2018-07-01,166.0,64,140.0,3,19,1,1,1,1,0,1,1,0,0,0,0,10
6.3,3750,6,2018-07-01,176.0,64,250.0,2,19,1,1,1,1,0,1,1,0,0,0,0,10
5.3,3000,3,2018-07-01,162.0,16,250.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
5.5,4500,2,2018-07-01,171.0,16,160.0,4,19,1,0,1,0,0,1,0,0,0,0,0,71
6.0,3580,6,2018-07-01,205.0,32,240.0,10,17,0,1,1,1,0,1,0,0,0,0,0,1
6.9,5500,6,2018-07-01,221.0,64,310.0,12,19,0,1,1,1,0,1,0,1,0,0,0,1
5.84,4000,4,2018-07-01,178.0,32,380.0,12,19,1,0,1,0,0,1,0,0,0,0,0,7
5.6,3000,4,2018-07-01,154.0,32,150.0,9,17,0,0,1,0,0,1,0,0,0,0,0,73
6.2,4230,4,2018-07-01,168.0,32,150.0,7,19,0,0,1,0,0,1,0,0,0,0,0,75
6.2,4230,4,2018-07-13,168.0,16,460.0,7,19,0,0,1,0,0,1,0,0,0,0,0,75
6.3,3340,6,2018-07-18,169.0,64,90.0,3,19,0,0,1,0,0,1,0,0,0,0,0,10
5.99,3000,6,2018-07-24,166.0,32,270.0,12,19,1,1,1,1,0,1,0,1,0,0,0,1
6.4,3500,8,2018-08-01,182.0,128,270.0,7,19,1,1,1,1,0,1,0,0,0,0,0,10
6.1,3000,4,2018-08-01,156.0,32,300.0,4,19,1,1,1,1,0,1,0,0,0,0,0,49
6.2,3300,4,2018-08-01,172.0,64,140.0,4,19,1,0,1,0,0,1,0,0,0,0,0,1
6.3,3500,6,2018-08-01,169.0,64,510.0,7,19,1,0,1,0,0,1,0,0,0,0,0,10
5.0,2600,1,2018-08-01,154.0,8,200.0,9,20,0,0,1,0,0,1,0,0,0,0,0,70
6.2,4230,4,2018-08-01,168.0,32,120.0,8,19,0,0,1,0,0,1,0,0,0,0,0,75
6.1,3000,4,2018-08-01,156.0,32,350.0,4,19,0,1,1,1,0,1,0,0,0,0,0,49
6.3,3750,6,2018-08-01,172.0,64,350.0,3,19,0,0,1,0,0,0,1,0,0,0,0,10
6.4,3700,8,2018-08-01,183.0,128,330.0,7,19,1,1,1,1,0,1,0,0,0,0,0,10
5.0,2500,2,2018-08-01,152.0,16,200.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
6.4,4000,8,2018-08-09,201.0,128,150.0,9,19,0,1,1,1,0,1,1,1,1,0,1,45
6.18,4000,8,2018-08-22,182.0,64,360.0,12,19,1,1,1,1,0,1,1,1,1,0,1,5
6.0,3300,6,2018-08-30,193.0,64,510.0,10,21,0,1,1,1,0,1,1,0,0,0,1,44
6.26,3350,6,2018-09-01,169.0,64,360.0,12,19,1,1,1,1,0,1,0,1,0,0,0,7
6.21,3000,8,2018-09-01,177.0,128,510.0,12,19,1,1,1,1,0,1,1,1,1,0,0,6
6.26,4000,6,2018-09-01,182.0,32,200.0,12,19,1,0,1,0,0,1,0,0,0,0,0,7
6.3,3500,4,2018-09-01,169.0,64,250.0,7,19,1,0,1,0,0,1,0,0,0,0,0,10
6.0,3300,3,2018-09-01,178.0,16,100.0,9,19,0,0,1,0,0,1,0,0,0,0,0,73
6.5,3750,6,2018-09-01,175.0,64,220.0,2,19,1,0,1,0,0,0,1,0,0,1,0,10
7.12,5000,6,2018-09-01,210.0,64,250.0,2,19,1,0,1,0,0,1,0,0,0,0,0,4
6.2,4230,2,2018-09-01,168.0,16,100.0,8,19,0,0,1,0,0,1,0,0,0,0,0,75
6.0,3300,4,2018-09-01,178.0,32,220.0,9,19,0,0,1,0,0,1,0,0,0,0,0,73
6.3,3500,8,2018-09-01,174.0,64,150.0,8,19,0,1,1,1,0,1,1,1,1,0,0,10
6.5,3174,4,2018-09-12,208.0,64,570.0,0,28,0,1,1,1,0,1,1,1,1,0,0,37
5.8,2658,4,2018-09-12,177.0,64,380.0,0,28,0,1,1,1,0,1,1,1,1,0,0,21
6.1,2942,3,2018-09-12,194.0,64,310.0,0,28,0,1,1,1,0,1,1,1,1,0,0,83
6.0,3300,6,2018-09-20,168.0,64,200.0,9,17,1,1,1,0,0,1,1,1,1,0,1,2
6.01,4000,6,2018-10-01,190.0,128,450.0,12,17,0,1,1,1,0,1,0,1,0,0,0,1
6.39,3200,6,2018-10-01,218.0,128,730.0,12,21,1,1,1,1,0,0,1,0,0,0,1,10
5.7,3000,3,2018-10-01,155.0,32,150.0,5,19,0,0,1,0,0,0,1,0,0,0,0,72
5.99,4050,6,2018-10-01,165.0,64,200.0,5,19,0,1,1,1,0,1,0,0,0,0,0,1
6.2,3500,6,2018-10-01,170.0,64,130.0,5,19,0,1,1,1,0,1,0,0,0,0,0,5
6.39,4200,8,2018-10-01,187.0,256,460.0,3,21,1,1,1,1,0,1,1,0,0,0,1,49
7.2,5000,8,2018-10-01,232.0,128,180.0,3,21,1,1,1,1,0,1,1,0,0,0,1,4
6.0,3300,6,2018-10-01,183.0,64,310.0,9,17,0,1,1,1,0,1,0,0,0,0,0,1
6.53,4000,6,2018-10-01,188.0,64,260.0,3,21,1,1,1,1,0,1,1,0,0,0,1,4
6.3,3800,8,2018-10-01,183.0,64,430.0,9,17,0,1,1,1,0,1,0,0,0,0,0,2
6.4,3600,6,2018-10-01,156.0,64,1350.0,7,19,0,1,1,1,0,1,0,0,0,0,0,10
6.5,4000,6,2018-10-01,173.0,64,220.0,3,19,0,0,1,0,0,1,0,0,0,0,0,10
6.4,3600,6,2018-10-01,156.0,128,132.0,7,19,0,1,1,1,0,1,0,0,0,0,0,10
6.26,4000,4,2018-10-01,167.0,32,170.0,2,19,1,0,1,0,0,1,0,0,0,0,0,75
6.39,3500,8,2018-10-01,206.0,128,550.0,2,21,1,1,1,1,0,1,0,0,0,1,0,10
6.4,3300,6,2018-10-03,169.0,64,70.0,4,19,1,1,1,1,0,1,1,1,1,0,0,49
6.3,3430,4,2018-10-09,184.0,64,260.0,1,21,1,1,1,1,0,1,0,1,0,0,0,45
5.5,2915,4,2018-10-09,148.0,64,450.0,1,21,1,1,1,1,0,1,0,1,0,0,0,1
6.39,4200,8,2018-10-16,189.0,128,230.0,3,21,1,1,1,1,0,1,1,0,0,0,1,49
6.41,3700,8,2018-10-29,185.0,128,430.0,6,21,1,1,1,1,0,1,1,1,1,1,0,10
6.3,3500,4,2018-11-01,168.0,32,130.0,8,19,0,1,1,0,0,1,0,0,0,0,0,10
7.12,5000,4,2018-11-01,210.0,128,180.0,3,19,1,0,1,0,0,1,0,0,0,0,0,4
6.39,3350,6,2018-11-01,210.0,64,150.0,5,19,1,1,1,1,0,1,0,1,0,0,0,10
6.41,3600,4,2018-11-01,156.0,128,230.0,7,19,0,0,1,0,0,1,0,0,0,0,0,10
6.2,4230,4,2018-11-01,168.0,32,290.0,7,19,0,0,1,0,0,1,0,0,0,0,0,75
6.0,3300,1,2018-11-01,177.0,16,120.0,9,20,0,0,1,0,0,1,0,0,0,0,0,73
6.21,3400,6,2018-11-01,162.0,32,180.0,2,21,1,0,1,0,0,0,1,0,0,0,0,10
6.26,4000,4,2018-12-01,168.0,32,800.0,3,19,1,0,1,0,0,1,0,0,0,0,0,75
6.4,3400,8,2018-12-01,173.0,128,550.0,9,21,0,1,1,1,0,1,1,1,1,0,0,10
6.4,3750,8,2018-12-01,172.0,128,1200.0,3,21,1,1,1,1,0,1,0,0,0,0,0,8
6.2,3500,6,2018-12-01,170.0,64,400.0,5,19,0,1,1,1,0,1,0,0,0,0,0,5
5.45,3020,1,2018-12-01,142.0,16,130.0,3,20,0,0,1,0,0,1,0,0,0,0,0,72
5.84,3000,6,2018-12-01,150.0,64,170.0,12,21,0,0,1,0,0,1,0,0,0,0,0,7
6.39,3350,6,2018-12-01,210.0,128,200.0,5,19,1,1,1,1,0,1,0,1,0,0,0,10
6.41,3700,10,2018-12-11,185.0,256,700.0,6,21,1,1,1,1,0,1,1,1,1,1,0,10
6.3,3300,6,2018-12-18,172.0,64,300.0,5,21,0,1,1,1,0,1,0,0,0,0,0,10
6.21,3400,3,2018-12-28,160.0,32,580.0,3,21,0,0,1,0,0,0,1,0,0,0,0,10
6.26,4000,4,2019-01-01,168.0,32,200.0,3,19,0,0,1,0,0,1,0,0,0,0,0,75
6.26,4000,3,2019-01-01,168.0,32,400.0,3,19,0,0,1,0,0,1,0,0,0,0,0,75
5.0,3000,1,2019-01-01,137.0,8,100.0,12,20,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2500,2,2019-01-01,140.0,16,80.0,4,19,0,0,1,0,0,1,0,0,0,0,0,71
6.09,3020,3,2019-01-01,150.0,32,100.0,2,21,1,0,1,0,0,1,0,0,0,0,0,76
6.1,3000,4,2019-01-01,159.0,64,330.0,4,19,0,1,1,1,0,1,0,0,0,0,0,49
6.22,3400,3,2019-01-01,163.0,16,90.0,9,19,0,0,1,0,0,1,0,0,0,0,0,75
6.2,4230,3,2019-01-01,168.0,32,90.0,8,19,0,0,1,0,0,1,0,0,0,0,0,75
