inches,battery,ram(GB),weight(g),storage(GB),price(USD),brand_encoded,os_encoded,battery_type_encoded,video_720p_encoded,video_1080p_encoded,video_4K_encoded,video_8K_encoded,video_30fps_encoded,video_60fps_encoded,video_120fps_encoded,video_240fps_encoded,video_480fps_encoded,video_960fps_encoded,resolution_encoded
5.3,3000,3,162.0,16,140.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
5.99,4000,4,180.0,32,180.0,12,16,1,1,1,1,0,1,1,0,0,0,0,1
5.2,3000,3,137.0,16,280.0,7,14,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2500,2,152.0,16,70.0,4,16,0,1,1,0,0,1,0,0,0,0,0,71
5.99,4000,6,181.0,64,180.0,12,16,1,0,1,0,0,1,0,0,0,0,0,1
5.8,3000,4,163.0,64,300.0,9,17,0,1,1,1,0,1,1,1,1,0,1,45
6.2,3500,6,189.0,64,120.0,9,17,0,1,1,1,0,1,1,1,1,0,1,45
5.7,3180,6,198.0,64,360.0,10,17,0,1,1,1,0,1,1,0,0,0,1,1
5.99,3400,8,191.0,64,270.0,12,17,0,1,1,1,0,1,1,1,1,0,0,1
5.99,4000,6,181.0,32,180.0,12,17,1,0,1,0,0,1,0,0,0,0,0,1
5.7,3180,4,143.0,32,180.0,7,15,0,0,1,0,0,1,0,0,0,0,0,72
6.28,3450,8,175.0,128,450.0,7,19,1,1,1,1,0,1,0,0,0,0,0,7
6.28,3430,6,180.0,128,320.0,7,19,1,1,1,1,0,1,1,1,1,0,0,7
5.5,3300,3,170.0,32,370.0,9,12,0,0,1,0,0,1,0,0,0,0,0,0
5.93,4000,4,170.0,32,600.0,3,17,0,0,1,0,0,1,0,0,0,0,0,1
5.7,3000,3,155.0,16,150.0,5,17,0,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,3,160.0,32,150.0,5,14,0,1,0,0,0,1,0,0,0,0,0,72
5.99,3000,2,155.0,16,200.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,4,155.0,32,230.0,5,17,1,1,1,1,0,1,0,0,0,0,0,1
5.99,3000,4,155.0,32,170.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.0,2500,2,140.0,16,180.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
6.23,3400,6,158.0,64,580.0,7,19,0,0,1,0,0,1,0,0,0,0,0,7
5.99,3000,3,155.0,32,220.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
6.0,4000,6,183.0,256,240.0,3,19,1,1,1,1,0,1,1,0,0,0,1,44
5.84,3000,4,145.0,32,150.0,3,17,1,0,1,0,0,1,0,0,0,0,0,7
6.1,4000,8,180.0,64,150.0,3,19,1,1,1,1,0,1,1,0,0,0,1,3
5.8,3400,6,165.0,64,170.0,3,19,1,1,1,1,0,1,1,0,0,0,1,3
5.7,3000,3,150.0,16,330.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,3,150.0,16,410.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.8,3540,6,236.0,64,460.0,10,17,0,1,1,1,0,1,1,0,0,0,1,66
5.5,3000,4,174.0,32,420.0,9,17,0,0,1,0,0,1,0,0,0,0,0,71
5.7,3000,3,150.0,16,120.0,2,17,1,0,1,0,0,1,0,0,0,0,0,72
6.2,3400,4,159.0,128,280.0,7,19,0,0,1,0,0,1,0,0,0,0,0,7
5.99,4000,8,190.0,64,400.0,12,17,0,1,1,1,0,1,0,1,0,0,0,1
6.0,3410,6,155.0,32,130.0,8,19,0,0,1,0,0,1,0,0,0,0,0,1
5.84,3400,8,153.0,64,310.0,2,19,1,1,1,1,0,1,1,0,0,0,0,7
5.99,3000,4,164.0,32,200.0,2,17,1,0,1,0,0,1,0,0,0,0,0,72
5.0,2280,1,175.0,8,1300.0,3,18,0,1,0,0,0,1,0,0,0,0,0,68
